gatewayFid,MIDActual,vampMid,mastercardMid,gateway,brand,currency,RDR Merchant Name,DBA,BIN,CAID,IsActive,isCrossBorder,processWallet,Duplicate ?
paysafe-cad-tvn-ap,PaySafe - Total AV - CAD - AP,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,CAD,,,,,FALSE,FALSE,TRUE,1
paysafe-eur-1002449064,PaySafe - Total AV - EUR,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,EUR,,,,,FALSE,FALSE,FALSE,1
paysafe-eur-tav,PaySafe - Total AV - EUR,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,EUR,ProtectedNet - 458518 - 00102841,ProtectedNet,458518,102841,TRUE,FALSE,FALSE,1
paysafe-eur-tvn,PaySafe - Total AV - EUR,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,EUR,,,,,FALSE,FALSE,FALSE,1
paysafe-eur-tvn-ap,PaySafe - Total AV - EUR - AP,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,EUR,,,,,FALSE,FALSE,FALSE,1
paysafe-eur-tvn-gp,PaySafe - Total AV - EUR - GP,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,EUR,,,,,FALSE,FALSE,FALSE,1
paysafe-gbp-1002448994,PaySafe - Total AV - GBP,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,GBP,ProtectedNet - 458518 - 00102834,ProtectedNet,458518,102834,FALSE,FALSE,FALSE,1
paysafe-gbp-tav,PaySafe - Total AV - GBP,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,GBP,ProtectedNet - 458518 - 00102834,ProtectedNet,458518,102834,TRUE,FALSE,FALSE,1
paysafe-gbp-tvn-ap,PaySafe - Total AV - GBP - AP,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,GBP,,,,,FALSE,FALSE,FALSE,1
paysafe-usd-1002449004,PaySafe - Total AV - USD,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,USD,ProtectedNet - 458518 - 00102836,ProtectedNet,458518,102836,FALSE,TRUE,TRUE,1
paysafe-usd-tav,PaySafe - Total AV - USD,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,USD,ProtectedNet - 458518 - 00102836,ProtectedNet,458518,102836,FALSE,TRUE,TRUE,1
paysafe-usd-tvn-ap,PaySafe - Total AV - USD - AP,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,USD,,,,,FALSE,TRUE,TRUE,1
paysafe-usd-tvn-gp,PaySafe - Total AV - USD - GP,PaySafe - Total AV,PaySafe - Total AV,PaySafe,Total AV,USD,,,,,FALSE,TRUE,TRUE,1
trustpayments-aud-tav,TrustPayments - Total AV - AUD,TrustPayments - Total AV,TrustPayments - Total AV - AUD,TrustPayments,Total AV,AUD,,,,,FALSE,FALSE,FALSE,1
trustpayments-cad-tav,TrustPayments - Total AV - CAD,TrustPayments - Total AV,TrustPayments - Total AV - CAD,TrustPayments,Total AV,CAD,,,,,FALSE,FALSE,FALSE,1
trustpayments-gbp-tav,TrustPayments - Total AV - GBP,TrustPayments - Total AV,TrustPayments - Total AV - GBP,TrustPayments,Total AV,GBP,,,,,FALSE,FALSE,FALSE,1
trustpayments-usd-tav,TrustPayments - Total AV - USD,TrustPayments - Total AV,TrustPayments - Total AV - USD,TrustPayments,Total AV,USD,,,,,FALSE,FALSE,FALSE,1
worldpay-aud-4237625,WorldPay - Total AV - AUD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,AUD,ProtectedNet - 490641 - 395704237625,ProtectedNet,490641,3.96E+11,FALSE,FALSE,TRUE,1
worldpay-aud-tav,WorldPay - Total AV - AUD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,AUD,,,,,FALSE,FALSE,TRUE,1
worldpay-aud-tav-nt,WorldPay - Total AV - AUD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,AUD,ProtectedNet - 490641 - 395704237625,ProtectedNet,490641,3.96E+11,TRUE,FALSE,TRUE,1
worldpay-aud-tav-nt-ap,WorldPay - Total AV - AUD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,AUD,ProtectedNet - 490641 - 395704237625,ProtectedNet,490641,3.96E+11,FALSE,FALSE,TRUE,1
worldpay-aud-tav-nt-gp,WorldPay - Total AV - AUD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,AUD,ProtectedNet - 490641 - 395704237625,ProtectedNet,490641,3.96E+11,FALSE,FALSE,TRUE,1
worldpayapplepay-aud-4237625,WorldPay - Total AV - AUD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,AUD,ProtectedNet - 490641 - 395704237625,ProtectedNet,490641,3.96E+11,FALSE,FALSE,TRUE,1
worldpaygooglepay-aud-4237625,WorldPay - Total AV - AUD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,AUD,ProtectedNet - 490641 - 395704237625,ProtectedNet,490641,3.96E+11,FALSE,FALSE,TRUE,1
worldpay-cad-4237627,WorldPay - Total AV - CAD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,CAD,,,,,FALSE,FALSE,TRUE,1
worldpay-cad-tav,WorldPay - Total AV - CAD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,CAD,,,,,FALSE,FALSE,TRUE,1
worldpay-cad-tav-nt,WorldPay - Total AV - CAD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,CAD,ProtectedNet - 490641 - 395704237627,ProtectedNet,490641,3.96E+11,TRUE,FALSE,TRUE,1
worldpay-cad-tav-nt-ap,WorldPay - Total AV - CAD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,CAD,ProtectedNet - 490641 - 395704237627,ProtectedNet,490641,3.96E+11,FALSE,FALSE,TRUE,1
worldpay-cad-tav-nt-gp,WorldPay - Total AV - CAD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,CAD,ProtectedNet - 490641 - 395704237627,ProtectedNet,490641,3.96E+11,FALSE,FALSE,TRUE,1
worldpayapplepay-cad-4237627,WorldPay - Total AV - CAD,WorldPay - Total AV,WorldPay - Total AV,WorldPay,Total AV,CAD,ProtectedNet - 490641 - 395704237627,ProtectedNet,490641,3.96E+11,FALSE,FALSE,TRUE,1
